orderId,customerId,orderDate,shipDate,status,shippingAddress,totalAmount,extraField1,op,eventTime,seqNum
986d5030-6928-441f-91df-752cd5b21bef,a6025204-8750-4662-9944-295a6bfc0958,2025-10-29 07:20:45,2025-11-02,new,"C/ Rio, 66",,,I,2025-11-06 21:39:29,1
d4b55314-de9d-4144-b518-f279e378d85b,709d1481-d29e-4544-9560-d17c8668709f,2025-10-24 23:30:02,2025-10-25,NEW,"C/ Sol, 68",,legacy,I,2025-11-06 09:52:49,1
046ea382-26e3-485f-b142-e94f92a49c7a,63954dd6-f4a7-4895-8f33-83b90c80d7e5,2025-11-06 21:40:22,2025-11-15,new,"C/ Rio, 85",,legacy,I,2025-11-06 07:15:16,1
64e168ec-de0d-4469-8284-e4cff01878c2,a28e4781-8631-4451-a553-9899a072e7f6,2025-11-01 18:45:53,2025-11-11,NEW,"C/ Luna, 85",,legacy,I,2025-11-06 01:57:36,1
656982cc-0395-4fa6-b5f7-de327a21b52f,93d96f8d-d5aa-4474-bfa0-f09d764eb366,2025-10-28 14:50:59,2025-11-05,PAID,"C/ Sol, 33",,legacy,I,2025-11-06 10:24:47,1
09ad0c56-e939-482f-a362-21bc1a82868d,4c82a8cb-cac7-4e3d-ad23-aead59b56344,2025-11-05 15:58:30,2025-11-08,new,"  C/ Rio, 81 ",,,I,2025-11-06 16:17:15,1
b5645358-fb69-4505-9760-b9487683bd0c,f8de6d5e-9f90-4593-9d43-3006aac49240,2025-10-30 09:05:29,2025-10-31,Shipped,"C/ Rio, 30 ",,,I,2025-11-06 05:12:19,1
a90c1856-f325-4b31-b8c3-fc26d24874de,c4332b16-515f-4897-a32a-7103b5e46b1a,2025-10-31 17:06:22,2025-11-02,PAID,"C/ Mar, 49 ",,,I,2025-11-06 00:00:00,1
994b76e2-073d-4a05-b2b8-74380bfc06f0,ac64b2cd-ad83-4baa-a237-13a9bb5e6878,2025-11-03 08:10:29,2025-11-06,new,"  C/ Sol, 66 ",,,I,2025-11-06 07:32:22,1
69881d2f-121a-48bf-8ec9-ab30a70976df,8d73c5bc-f193-4467-83c9-bfbedb515923,2025-11-01 21:14:02,2025-11-01,CANCELLED,"C/ Rio, 14",,,I,2025-11-06 20:48:41,1
583d282f-3b22-4287-969b-7efd32b6c61b,1b99f722-1a4d-4640-93fa-203954033585,2025-10-27 20:14:16,2025-10-29,new,"C/ Mar, 5",,legacy,I,2025-11-06 09:56:08,1
887459b6-f8a6-4979-887d-2a209140d56e,8ea4d4f7-522a-4949-8e13-093e0d829b5a,2025-10-24 20:51:16,2025-11-03,PAID,"C/ Luna, 31",,,I,2025-11-06 17:09:21,1
0720c764-1aad-4315-ae77-1af82bb31e05,37770716-4e6d-4ed7-9c82-4c3bd1169381,2025-11-01 17:55:23,2025-11-07,PAID,"  C/ Rio, 73",,,I,2025-11-06 09:24:03,1
2e86035d-0b0c-463c-8b65-cfe6185610ac,0df262ed-e4fd-4839-8719-48ed8742ec6d,2025-11-01 23:34:15,2025-11-02,NEW,"C/ Sol, 72",,,I,2025-11-06 10:12:42,1
42721ea7-4a03-499b-8136-5abff27ad204,7f0121b2-5705-4371-ae02-5356443a2937,2025-10-30 08:27:19,2025-11-02,NEW,"C/ Sol, 87",,,I,2025-11-06 13:51:02,1
